host,states,n_targets,page_types,external_host,http_status,http_version,redirects,final_url,content_type,server,cdn_headers,error,has_robots,soft_404,n_bytes,n_groups,star_disallow,star_allow,blocks_all_star,crawl_delay_star,n_sitemaps,sitemaps,ai_bots_blocked,n_ai_blocked,archive_bots_blocked,tool_bots_blocked,n_targets_disallowed,targets_disallowed
votemidlandtx.gov,TX,5,early_voting|elections|polling|results|voter_registration,true,200,h2,0,https://votemidlandtx.gov/robots.txt,text/plain,Apache,,,true,false,118,1,1,1,false,,1,https://votemidlandtx.gov/wp-sitemap.xml,,0,,,0,
votetravis.gov,TX,2,elections|polling,true,200,h2,0,https://votetravis.gov/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,115,1,1,1,false,,1,https://votetravis.gov/wp-sitemap.xml,,0,,,0,
wichitacountytx.com,TX,3,elections|homepage|results,false,200,h2,0,https://wichitacountytx.com/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,106,3,0,0,false,,0,,,0,,,0,
www.andersoncountytx.gov,TX,2,elections|homepage,false,404,1.1,0,https://www.andersoncountytx.gov/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.angelinacounty.net,TX,2,elections|homepage,false,200,h2,0,https://www.angelinacounty.net/robots.txt,text/plain,Apache,,,true,false,279,1,2,1,false,,1,https://www.angelinacounty.net/wp-sitemap.xml,,0,,,0,
www.aransascountytx.gov,TX,4,early_voting|elections|polling|results,true,200,h2,0,https://www.aransascountytx.gov/robots.txt,text/plain,Apache,x-cdn;x-iinfo,,true,false,362,6,10,1,true,,0,,amazonbot|bytespider,2,,,0,
www.austincounty.com,TX,2,elections|homepage,false,404,1.1,0,https://www.austincounty.com/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.banderacounty.gov,TX,5,early_voting|elections|homepage|polling|results,false,404,1.1,0,https://www.banderacounty.gov/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.bastropcounty.gov,TX,1,homepage,false,404,1.1,0,https://www.bastropcounty.gov/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.bastropvotes.org,TX,5,early_voting|elections|polling|results|voter_registration,true,200,h2,0,https://www.bastropvotes.org/robots.txt,text/plain,Apache,,,true,false,123,1,1,1,false,,1,https://www.bastropvotes.org/wp-sitemap.xml,,0,,,0,
www.beecounty.gov,TX,3,elections|homepage|voter_registration,false,200,h2,0,https://www.beecounty.gov/robots.txt,text/plain,,,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.bellcountytx.com,TX,4,early_voting|elections|homepage|polling,false,200,h2,0,https://www.bellcountytx.com/robots.txt,text/plain,,,,true,false,210,6,1,0,true,,0,,,0,,,4,https://www.bellcountytx.com/|https://www.bellcountytx.com/departments/elections|https://www.bellcountytx.com/departments/elections/early_voting_information.php|https://www.bellcountytx.com/departments/elections/election_day_locations.php
www.bexar.org,TX,4,early_voting|elections|homepage|polling,false,200,h2,0,https://www.bexar.org/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.blancocountytexas.gov,TX,3,elections|homepage|results,false,404,1.1,0,https://www.blancocountytexas.gov/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.bosquecounty.gov,TX,2,elections|homepage,false,200,h2,0,https://www.bosquecounty.gov/robots.txt,text/plain,,,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.brazoriacountyclerktx.gov,TX,1,voter_registration,true,200,h2,0,https://www.brazoriacountyclerktx.gov/robots.txt,text/plain,,,,true,false,6641,4,176,0,false,,0,,,0,,,0,
www.brazoriacountytx.gov,TX,1,homepage,false,200,h2,0,https://www.brazoriacountytx.gov/robots.txt,text/plain,,,,true,false,6641,4,176,0,false,,0,,,0,,,0,
www.brazoscountytx.gov,TX,1,homepage,false,200,h2,0,https://www.brazoscountytx.gov/robots.txt,text/plain,,,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.brewstercounty.gov,TX,3,elections|homepage|voter_registration,false,404,1.1,0,https://www.brewstercounty.gov/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.browncountytx.gov,TX,2,elections|homepage,false,404,1.1,0,https://www.browncountytx.gov/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.burlesoncountytx.gov,TX,5,early_voting|elections|homepage|polling|results,false,404,1.1,0,https://www.burlesoncountytx.gov/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.burnetcountytexas.org,TX,2,homepage|voter_registration,false,200,h2,0,https://www.burnetcountytexas.org/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.calhouncotx.org,TX,4,early_voting|elections|homepage|polling,false,200,h2,0,https://www.calhouncotx.org/robots.txt,text/plain,Microsoft-IIS/10.0,,,true,false,475,1,15,1,false,,2,https://www.calhouncotx.org/sitemap.xml|https://www.calhouncotx.org/sitemap.rss,,0,,,0,
www.callahancounty.org,TX,2,elections|homepage,false,404,1.1,0,https://www.callahancounty.org/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.cameroncountytx.gov,TX,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://www.cameroncountytx.gov/robots.txt,text/plain,Sucuri/Cloudproxy,x-sucuri-cache;x-sucuri-id,,true,false,337,1,2,0,false,,1,https://www.cameroncountytx.gov/sitemap_index.xml,,0,,,0,
www.chamberscountytx.gov,TX,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://www.chamberscountytx.gov/robots.txt,text/plain,,,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.childresstx.us,TX,2,elections|homepage,false,200,h2,0,https://www.childresstx.us/robots.txt,text/plain,Apache/2.4.29 (Ubuntu),,,false,true,0,0,0,0,,,0,,,0,,,0,
www.claycountytx.net,TX,2,elections|homepage,false,200,h2,0,https://www.claycountytx.net/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray;x-cache;x-cache-status;x-served-by,,true,false,494,6,1,1,false,,1,https://www.claycountytx.net/sitemap.xml,petalbot,1,,,0,
www.co.andrews.tx.us,TX,6,early_voting|elections|homepage|polling|results|voter_registration,false,200,h2,0,https://www.co.andrews.tx.us/robots.txt,text/plain,Microsoft-IIS/10.0,,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.co.aransas.tx.us,TX,1,homepage,false,404,1.1,0,https://www.co.aransas.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.archer.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.archer.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.armstrong.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.armstrong.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.bailey.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.bailey.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.baylor.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.baylor.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.borden.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.borden.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.bowie.tx.us,TX,5,early_voting|elections|homepage|polling|results,false,200,h2,1,https://www.bowiecounty.org/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.co.briscoe.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.briscoe.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.brooks.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.brooks.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.caldwell.tx.us,TX,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.co.caldwell.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.camp.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.camp.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.carson.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.carson.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.cass.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.cass.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.castro.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.castro.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.cherokee.tx.us,TX,3,elections|homepage|results,false,404,1.1,0,https://www.co.cherokee.tx.us/robots.txt,text/html,nginx,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.cochran.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.cochran.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.coke.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.coke.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.coleman.tx.us,TX,4,early_voting|elections|homepage|polling,false,200,h2,1,https://www.colemancounty.gov,text/html,,,,false,true,0,0,0,0,,,0,,,0,,,0,
www.co.collingsworth.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.collingsworth.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.colorado.tx.us,TX,4,early_voting|elections|homepage|voter_registration,false,404,1.1,0,https://www.co.colorado.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.concho.tx.us,TX,3,elections|homepage|polling,false,404,1.1,0,https://www.co.concho.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.cooke.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.cooke.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.coryell.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.coryell.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.cottle.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.cottle.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.crane.tx.us,TX,3,elections|homepage|results,false,404,1.1,0,https://www.co.crane.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.crockett.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.crockett.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.crosby.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.crosby.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.culberson.tx.us,TX,4,early_voting|elections|homepage|polling,false,404,1.1,0,https://www.co.culberson.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.dallam.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.dallam.tx.us/robots.txt,text/html,LiteSpeed,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.dawson.tx.us,TX,4,early_voting|elections|homepage|polling,false,404,1.1,0,https://www.co.dawson.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.deaf-smith.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.deaf-smith.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.dewitt.tx.us,TX,3,elections|homepage|results,false,404,1.1,0,https://www.co.dewitt.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.dickens.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.dickens.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.donley.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.donley.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.duval.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.duval.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.edwards.tx.us,TX,4,early_voting|elections|homepage|polling,false,404,1.1,0,https://www.co.edwards.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.erath.tx.us,TX,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://www.co.erath.tx.us/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.co.falls.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.falls.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.fannin.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.fannin.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.fayette.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.fayette.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.floyd.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.floyd.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.franklin.tx.us,TX,2,homepage|voter_registration,false,404,1.1,0,https://www.co.franklin.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.freestone.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.freestone.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.frio.tx.us,TX,3,elections|homepage|results,false,404,1.1,0,https://www.co.frio.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.gaines.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.gaines.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.glasscock.tx.us,TX,3,elections|homepage|voter_registration,false,404,1.1,0,https://www.co.glasscock.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.goliad.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.goliad.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.gonzales.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.gonzales.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.gray.tx.us,TX,4,early_voting|elections|homepage|polling,false,404,1.1,0,https://www.co.gray.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.grayson.tx.us,TX,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.co.grayson.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.guadalupe.tx.us,TX,1,homepage,false,404,1.1,0,https://www.co.guadalupe.tx.us/robots.txt,text/html,Microsoft-IIS/10.0,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.hall.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.hall.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.hansford.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.hansford.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.hardeman.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.hardeman.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.hartley.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.hartley.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.hemphill.tx.us,TX,4,early_voting|elections|homepage|polling,false,404,1.1,0,https://www.co.hemphill.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.hill.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.hill.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.hockley.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.hockley.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.houston.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.houston.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.howard.tx.us,TX,5,early_voting|elections|homepage|polling|voter_registration,false,200,h2,0,https://www.co.howard.tx.us/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.co.hudspeth.tx.us,TX,3,elections|homepage|results,false,404,1.1,0,https://www.co.hudspeth.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.hutchinson.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.hutchinson.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.irion.tx.us,TX,2,elections|homepage,false,200,h2,0,https://www.co.irion.tx.us/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.co.jackson.tx.us,TX,3,elections|homepage|results,false,404,1.1,0,https://www.co.jackson.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.jasper.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.jasper.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.jim-hogg.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.jim-hogg.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.jim-wells.tx.us,TX,1,homepage,false,404,1.1,0,https://www.co.jim-wells.tx.us/robots.txt,text/html,Microsoft-IIS/10.0,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.jones.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.jones.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.karnes.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.karnes.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.kent.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.kent.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.kimble.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.kimble.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.king.tx.us,TX,1,homepage,false,404,1.1,0,https://www.co.king.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.kinney.tx.us,TX,3,elections|homepage|results,false,404,1.1,0,https://www.co.kinney.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.kleberg.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.kleberg.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.la-salle.tx.us,TX,5,early_voting|elections|homepage|polling|results,false,200,h2,0,https://www.co.la-salle.tx.us/robots.txt,text/plain,Apache,,,true,false,865,1,15,0,false,,0,,,0,,,0,
www.co.lamb.tx.us,TX,3,elections|homepage|voter_registration,false,404,1.1,0,https://www.co.lamb.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.lampasas.tx.us,TX,3,elections|homepage|voter_registration,false,404,1.1,0,https://www.co.lampasas.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.lavaca.tx.us,TX,3,elections|homepage|polling,false,404,1.1,0,https://www.co.lavaca.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.lee.tx.us,TX,4,early_voting|elections|homepage|polling,false,404,1.1,0,https://www.co.lee.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.leon.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.leon.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.liberty.tx.us,TX,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.co.liberty.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.limestone.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.limestone.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.lipscomb.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.lipscomb.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.live-oak.tx.us,TX,3,homepage|results|voter_registration,false,404,1.1,0,https://www.co.live-oak.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.llano.tx.us,TX,1,homepage,false,200,h2,1,https://www.llanocounty.gov,text/html,,,,false,true,0,0,0,0,,,0,,,0,,,0,
www.co.loving.tx.us,TX,1,homepage,false,404,1.1,0,https://www.co.loving.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.lynn.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.lynn.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.madison.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.madison.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.marion.tx.us,TX,1,homepage,false,404,1.1,0,https://www.co.marion.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.mason.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.mason.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.mcculloch.tx.us,TX,4,early_voting|elections|homepage|polling,false,404,1.1,0,https://www.co.mcculloch.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.menard.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.menard.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.midland.tx.us,TX,1,homepage,false,200,h2,0,https://www.co.midland.tx.us/robots.txt,text/plain,,,,true,false,844,6,23,0,false,20.0,1,https://www.co.midland.tx.us/sitemap.xml,,0,,,0,
www.co.mitchell.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.mitchell.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.montague.tx.us,TX,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.co.montague.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.moore.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.moore.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.morris.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.morris.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.motley.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.motley.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.navarro.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.navarro.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.newton.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.newton.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.nolan.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.nolan.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.ochiltree.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.ochiltree.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.oldham.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.oldham.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.orange.tx.us,TX,4,early_voting|elections|homepage|results,false,200,h2,0,https://www.co.orange.tx.us/robots.txt,text/plain,nginx,x-amz-cf-id;x-amz-cf-pop;x-cache,,true,false,156,1,2,1,false,,0,,,0,,,0,
www.co.palo-pinto.tx.us,TX,3,elections|homepage|results,false,404,1.1,0,https://www.co.palo-pinto.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.panola.tx.us,TX,2,elections|homepage,false,200,h2,0,https://www.co.panola.tx.us/robots.txt,text/plain,cloudflare,cf-cache-status;cf-ray,,true,false,816,6,23,0,false,20.0,1,/sitemap.xml,,0,,,0,
www.co.pecos.tx.us,TX,4,early_voting|elections|homepage|polling,false,200,h2,0,https://www.co.pecos.tx.us/robots.txt,text/plain,Apache/2.4.58 (Ubuntu),,,true,false,119,1,1,1,false,,1,https://www.co.pecos.tx.us/wp-sitemap.xml,,0,,,0,
www.co.potter.tx.us,TX,1,homepage,false,404,1.1,0,https://www.co.potter.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.presidio.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.presidio.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.rains.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.rains.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.reagan.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.reagan.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.real.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.real.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.red-river.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.red-river.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.refugio.tx.us,TX,6,early_voting|elections|homepage|polling|results|voter_registration,false,404,1.1,0,https://www.co.refugio.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
www.co.roberts.tx.us,TX,2,elections|homepage,false,404,1.1,0,https://www.co.roberts.tx.us/robots.txt,text/html,,,,false,false,0,0,0,0,,,0,,,0,,,0,
